"Path","File","Date Acquired","Sample","Misc"
"C:\msdchem\1\data\2021\21-07-JULY\","GFA210729mdw_001.d","29 Jul 2021  20:52    ","LYW METH NF2 POT1","5% IN 10 + 10 5A"
"INT FID1A.CH"
"Fri Jul 30 13:24:17 2021"
"Peak","R.T.","Start","End","PK TY","Height","Area","Pct Max","Pct Total"
  1,  3.287,  3.133,  3.897,"BV  ",129477206,10970952902,  8.41,  2.564
  2,  4.290,  3.897,  4.313,"VV  ",842518953,1.304e+011,100.00, 30.475
  3,  4.393,  4.313,  4.403,"VV  ",844010114,44531183681, 34.15, 10.407
  4,  4.461,  4.403,  4.469,"VV  ",873314486,33582312180, 25.75,  7.848
  5,  4.492,  4.469,  4.508,"VV  ",889561568,20241096285, 15.52,  4.730
  6,  4.521,  4.508,  4.531,"VV  ",883114117,12345742793,  9.47,  2.885
  7,  4.543,  4.531,  4.561,"VV  ",907872264,16112341162, 12.36,  3.765
  8,  4.585,  4.561,  4.622,"VV  ",897545244,32195264907, 24.69,  7.524
  9,  4.645,  4.622,  4.654,"VV  ",894266329,16877755248, 12.94,  3.944
 10,  4.671,  4.654,  4.702,"VV  ",896852580,25685653252, 19.70,  6.003
 11,  4.713,  4.702,  4.727,"VV  ",900841812,13276366522, 10.18,  3.103
 12,  4.735,  4.727,  4.743,"VV  ",893593031,8728215120,  6.69,  2.040
 13,  4.764,  4.743,  4.789,"VV  ",897494661,24650360194, 18.90,  5.761
 14,  4.832,  4.789,  4.908,"VV  ",899920779,37825773313, 29.01,  8.840
 15,  5.016,  4.991,  5.082,"VV  ", 554846, 23441055,  0.02,  0.005
 16,  5.179,  5.149,  5.195,"VV  ",14299725,172424482,  0.13,  0.040
 17,  5.215,  5.195,  5.255,"VV  ",11046362,158144350,  0.12,  0.037
 18,  5.278,  5.255,  5.341,"VB  ",  67317,   805039,  0.00,  0.000
 19,  5.531,  5.471,  5.584,"BB  ", 158419,  2609099,  0.00,  0.001
 20,  7.677,  7.610,  7.765,"BB  ",  74161,  1406142,  0.00,  0.000
 21, 21.608, 21.520, 21.739,"BB  ", 160417,  3864610,  0.00,  0.001
 22, 22.989, 22.912, 23.056,"BB  ",  53870,  1186140,  0.00,  0.000
 23, 23.611, 23.529, 23.709,"BB  ",  99032,  2477066,  0.00,  0.001
 24, 24.681, 24.638, 24.744,"VB  ",  45878,  1038466,  0.00,  0.000
 25, 25.529, 25.464, 25.603,"PV  ", 979616, 21585558,  0.02,  0.005
 26, 26.797, 26.711, 26.860,"BB  ",  27345,   619603,  0.00,  0.000
 27, 27.359, 27.281, 27.408,"BV  ",  34562,   813129,  0.00,  0.000
 28, 28.446, 28.371, 28.512,"BB  ", 248930,  5505930,  0.00,  0.001
 29, 29.107, 29.018, 29.217,"BB  ", 410256, 10575283,  0.01,  0.002
 30, 32.278, 32.180, 32.344,"BV  ",  75574,  2446490,  0.00,  0.001
 31, 33.940, 33.774, 34.048,"BB  ", 285182,  6712828,  0.01,  0.002
 32, 35.486, 35.282, 35.600,"BB  ",  96177,  3645903,  0.00,  0.001
 33, 41.295, 41.155, 41.393,"BB  ",1939959, 52980603,  0.04,  0.012
 34, 51.220, 51.099, 51.359,"BB  ", 103693,  3868620,  0.00,  0.001
"Path","File","Date Acquired","Sample","Misc"
"C:\msdchem\1\data\2021\21-07-JULY\","GFA210729mdw_002.d","29 Jul 2021  22:16    ","LYW METH NF2 POT2","5% IN 10 + 10 5A"
"INT FID1A.CH"
"Fri Jul 30 13:27:55 2021"
"Peak","R.T.","Start","End","PK TY","Height","Area","Pct Max","Pct Total"
  1,  3.284,  3.131,  3.900,"BV  ",127904818,10845704750, 13.54,  2.518
  2,  4.186,  3.900,  4.204,"VV  ",792336572,80104936761,100.00, 18.595
  3,  4.318,  4.204,  4.325,"VV  ",831400279,57318253303, 71.55, 13.305
  4,  4.346,  4.325,  4.355,"VV  ",849135527,14902768415, 18.60,  3.459
  5,  4.378,  4.355,  4.388,"VV  ",861675142,16873882964, 21.06,  3.917
  6,  4.396,  4.388,  4.404,"VV  ",841817341,8184184199, 10.22,  1.900
  7,  4.441,  4.404,  4.462,"VV  ",848044968,29055426940, 36.27,  6.745
  8,  4.474,  4.462,  4.482,"VV  ",856404839,10161412365, 12.69,  2.359
  9,  4.501,  4.482,  4.512,"VV  ",894518976,15510582179, 19.36,  3.600
 10,  4.518,  4.512,  4.547,"VV  ",880676748,18287495676, 22.83,  4.245
 11,  4.581,  4.547,  4.589,"VV  ",876902464,22104760919, 27.59,  5.131
 12,  4.603,  4.589,  4.626,"VV  ",885986446,19463567956, 24.30,  4.518
 13,  4.658,  4.626,  4.669,"VV  ",905779461,22927955118, 28.62,  5.322
 14,  4.717,  4.669,  4.725,"VV  ",916190304,29881598648, 37.30,  6.936
 15,  4.745,  4.725,  4.765,"VV  ",914506760,22134986681, 27.63,  5.138
 16,  4.785,  4.765,  4.794,"VV  ",904084380,15377322393, 19.20,  3.570
 17,  4.805,  4.794,  4.814,"VV  ",913013015,11042546019, 13.79,  2.563
 18,  4.822,  4.814,  4.974,"VV  ",905235809,26159567397, 32.66,  6.072
 19,  5.020,  5.002,  5.090,"VV  ", 534173, 21564786,  0.03,  0.005
 20,  5.127,  5.090,  5.151,"VV  ", 383151, 12904194,  0.02,  0.003
 21,  5.181,  5.151,  5.197,"VV  ",14633910,175120484,  0.22,  0.041
 22,  5.218,  5.197,  5.257,"VV  ",11170422,160314794,  0.20,  0.037
 23,  5.280,  5.257,  5.342,"VB  ",  68150,   816519,  0.00,  0.000
 24,  5.533,  5.477,  5.585,"BB  ", 159429,  2634676,  0.00,  0.001
 25,  7.678,  7.613,  7.765,"BB  ",  74258,  1415686,  0.00,  0.000
 26, 25.523, 25.430, 25.605,"BV  ", 282256,  6624171,  0.01,  0.002
 27, 28.446, 28.355, 28.521,"BB  ", 261534,  5874804,  0.01,  0.001
 28, 29.106, 29.022, 29.185,"BB  ", 275878,  7148275,  0.01,  0.002
 29, 33.940, 33.849, 34.026,"BB  ", 232591,  5292268,  0.01,  0.001
 30, 41.296, 41.170, 41.405,"BB  ",2060415, 56788983,  0.07,  0.013
 31, 51.221, 51.100, 51.357,"BB  ",  99900,  3725621,  0.00,  0.001
"Path","File","Date Acquired","Sample","Misc"
"C:\msdchem\1\data\2021\21-07-JULY\","GFA210729mdw_003.d","29 Jul 2021  23:40    ","LYW METH NF2 POT3","5% IN 10 + 10 5A"
"INT FID1A.CH"
"Fri Jul 30 13:28:45 2021"
"Peak","R.T.","Start","End","PK TY","Height","Area","Pct Max","Pct Total"
  1,  3.289,  3.142,  3.892,"BV  ",124403758,10427414619, 13.36,  2.475
  2,  4.196,  3.892,  4.203,"VV  ",757740804,78034326429,100.00, 18.521
