"Path","File","Date Acquired","Sample","Misc"
"D:\GCMS_User\R312_Liying\Data\20231128\","miliacin-ak34-01.D","29 Nov 2023  20:26","miliacin-ak34-01",""
"TIC: miliacin-ak34-01.D\data.ms","","","",""
"4.741","13487",,,
"4.746","13280",,,
"4.75","13330",,,
"4.754","13817",,,
"4.759","14065",,,
"4.763","13917",,,
"4.767","13281",,,
"4.772","13906",,,
"4.776","13615",,,
"4.78","13983",,,
"4.785","13204",,,
"4.789","13465",,,
"4.794","13752",,,
"4.798","13750",,,
"4.802","13818",,,
"4.807","12648",,,
"4.811","12728",,,
"4.815","12923",,,
"4.82","12692",,,
"4.824","13561",,,
"4.828","13654",,,
"4.833","12609",,,
"4.837","13330",,,
"4.842","12397",,,
"4.846","14137",,,
"4.85","13700",,,
"4.855","12865",,,
"4.859","13513",,,
"4.863","12869",,,
"4.868","12767",,,
"4.872","13717",,,
"4.876","12692",,,
"4.881","12817",,,
"4.885","12840",,,
"4.89","13219",,,
"4.894","12908",,,
"4.898","13505",,,
"4.903","13437",,,
"4.907","13335",,,
"4.911","12420",,,
"4.916","12912",,,
"4.92","13762",,,
"4.924","12822",,,
"4.929","13422",,,
"4.933","12452",,,
"4.938","13204",,,
"4.942","13149",,,
"4.946","12536",,,
"4.951","12739",,,
"4.955","12285",,,
"4.959","13098",,,
"4.964","11819",,,
"4.968","12314",,,
"4.972","12280",,,
"4.977","12150",,,
"4.981","12734",,,
"4.985","12242",,,
"4.99","11804",,,
"4.994","12364",,,
"4.999","11994",,,
"5.003","12473",,,
"5.007","12043",,,
"5.012","12342",,,
"5.016","12415",,,
"5.02","12440",,,
"5.025","11852",,,
"5.029","12466",,,
"5.033","12005",,,
"5.038","12292",,,
"5.042","12152",,,
"5.047","12304",,,
"5.051","11315",,,
"5.055","11977",,,
"5.06","12160",,,
"5.064","12339",,,
"5.068","11728",,,
"5.073","11242",,,
"5.077","12010",,,
"5.081","11865",,,
"5.086","11899",,,
"5.09","11551",,,
"5.095","12317",,,
"5.099","11276",,,
"5.103","11213",,,
"5.108","12225",,,
"5.112","11838",,,
"5.116","12117",,,
"5.121","11340",,,
"5.125","11403",,,
"5.129","11262",,,
"5.134","11580",,,
"5.138","12270",,,
"5.142","11520",,,
"5.147","11502",,,
"5.151","12183",,,
"5.156","11570",,,
"5.16","12171",,,
"5.164","11286",,,
"5.169","11526",,,
"5.173","11211",,,
"5.177","12302",,,
"5.182","11248",,,
"5.186","10847",,,
"5.19","10921",,,
"5.195","11366",,,
"5.199","11242",,,
"5.204","10689",,,
"5.208","11232",,,
"5.212","11817",,,
"5.217","10890",,,
"5.221","11772",,,
"5.225","11309",,,
"5.23","10380",,,
"5.234","11546",,,
"5.238","11092",,,
"5.243","11406",,,
"5.247","11024",,,
"5.252","11013",,,
"5.256","11118",,,
"5.26","10911",,,
"5.265","11215",,,
"5.269","11002",,,
"5.273","11750",,,
"5.278","11115",,,
"5.282","11583",,,
"5.286","11120",,,
"5.291","11420",,,
"5.295","10080",,,
"5.3","10512",,,
"5.304","11261",,,
"5.308","11339",,,
"5.313","11091",,,
"5.317","10990",,,
"5.321","10713",,,
"5.326","11077",,,
"5.33","10487",,,
"5.334","11012",,,
"5.339","10853",,,
"5.343","11031",,,
"5.347","10668",,,
"5.352","10255",,,
"5.356","10012",,,
"5.361","11257",,,
"5.365","10889",,,
"5.369","11035",,,
"5.374","10235",,,
"5.378","10476",,,
"5.382","10807",,,
"5.387","10602",,,
"5.391","10682",,,
"5.395","10642",,,
"5.4","10682",,,
"5.404","11095",,,
"5.409","10529",,,
"5.413","10454",,,
"5.417","10676",,,
"5.422","10456",,,
"5.426","10652",,,
"5.43","11036",,,
"5.435","10606",,,
"5.439","11368",,,
"5.443","10677",,,
"5.448","10625",,,
"5.452","10162",,,
"5.457","10372",,,
"5.461","9902",,,
"5.465","10647",,,
"5.47","10726",,,
"5.474","10256",,,
"5.478","10124",,,
"5.483","10092",,,
"5.487","10439",,,
"5.491","10380",,,
"5.496","10300",,,
"5.5","10793",,,
"5.504","11109",,,
"5.509","11339",,,
"5.513","10898",,,
"5.518","11017",,,
"5.522","10270",,,
"5.526","11219",,,
"5.531","10413",,,
"5.535","10235",,,
"5.539","10041",,,
"5.544","9791",,,
"5.548","11067",,,
"5.552","10213",,,
"5.557","10582",,,
"5.561","9980",,,
"5.566","9774",,,
"5.57","10504",,,
"5.574","10218",,,
"5.579","9680",,,
"5.583","9733",,,
"5.587","10110",,,
"5.592","10011",,,
"5.596","10267",,,
"5.6","9228",,,
"5.605","9835",,,
"5.609","10256",,,
"5.614","10151",,,
"5.618","9916",,,
"5.622","9392",,,
"5.627","9988",,,
"5.631","9676",,,
"5.635","9696",,,
"5.64","10059",,,
"5.644","10050",,,
"5.648","9953",,,
"5.653","9610",,,
"5.657","10052",,,
"5.662","9525",,,
"5.666","10151",,,
"5.67","10223",,,
"5.675","9722",,,
"5.679","9710",,,
"5.683","9933",,,
"5.688","9899",,,
"5.692","9494",,,
"5.696","9893",,,
"5.701","9335",,,
"5.705","8973",,,
"5.709","9859",,,
"5.714","9067",,,
"5.718","9647",,,
"5.723","9910",,,
"5.727","9582",,,
"5.731","9489",,,
"5.736","8596",,,
"5.74","9575",,,
"5.744","9680",,,
"5.749","9489",,,
"5.753","8724",,,
"5.757","9559",,,
"5.762","8935",,,
"5.766","9725",,,
"5.771","9576",,,
"5.775","9070",,,
"5.779","9548",,,
"5.784","9297",,,
"5.788","9726",,,
"5.792","9245",,,
"5.797","9450",,,
"5.801","9288",,,
"5.805","9134",,,
"5.81","9320",,,
"5.814","9220",,,
"5.819","8973",,,
"5.823","9139",,,
"5.827","9393",,,
"5.832","9399",,,
"5.836","8910",,,
"5.84","8866",,,
"5.845","8899",,,
"5.849","8892",,,
"5.853","9305",,,
"5.858","8878",,,
"5.862","9196",,,
"5.866","8822",,,
"5.871","8886",,,
"5.875","8782",,,
"5.88","8832",,,
"5.884","9446",,,
"5.888","9732",,,
"5.893","8765",,,
"5.897","8790",,,
"5.901","9013",,,
"5.906","9074",,,
"5.91","8787",,,
"5.914","8851",,,
"5.919","8747",,,
"5.923","8885",,,
"5.928","8808",,,
"5.932","8553",,,
"5.936","8596",,,
"5.941","8992",,,
"5.945","8650",,,
"5.949","8431",,,
"5.954","8791",,,
"5.958","8715",,,
"5.962","8952",,,
"5.967","9196",,,
"5.971","8561",,,
"5.976","8340",,,
"5.98","8667",,,
"5.984","8584",,,
"5.989","8734",,,
"5.993","8429",,,
"5.997","8578",,,
"6.002","8554",,,
"6.006","8473",,,
"6.01","8367",,,
"6.015","8687",,,
"6.019","8852",,,
"6.023","8485",,,
"6.028","8340",,,
"6.032","8843",,,
"6.037","9105",,,
"6.041","8575",,,
"6.045","8363",,,
"6.05","8934",,,
"6.054","8762",,,
"6.058","8855",,,
"6.063","8583",,,
"6.067","8375",,,
"6.071","8332",,,
"6.076","9001",,,
"6.08","8200",,,
"6.085","8284",,,
"6.089","8292",,,
"6.093","8361",,,
"6.098","8099",,,
"6.102","8254",,,
"6.106","8384",,,
"6.111","8350",,,
"6.115","8439",,,
"6.119","8166",,,
"6.124","8662",,,
"6.128","8691",,,
"6.133","8466",,,
"6.137","8484",,,
"6.141","8415",,,
"6.146","8826",,,
"6.15","7827",,,
"6.154","8208",,,
"6.159","8140",,,
"6.163","8140",,,
"6.167","7972",,,
"6.172","8360",,,
"6.176","8107",,,
"6.181","8288",,,
"6.185","8092",,,
"6.189","8029",,,
"6.194","8668",,,
"6.198","8093",,,
"6.202","8252",,,
"6.207","8341",,,
"6.211","7920",,,
"6.215","8247",,,
"6.22","8364",,,
"6.224","8069",,,
"6.228","7127",,,
"6.233","8081",,,
"6.237","8418",,,
"6.242","7742",,,
"6.246","7981",,,
"6.25","8654",,,
"6.255","7541",,,
"6.259","8118",,,
"6.263","8125",,,
"6.268","7664",,,
"6.272","8360",,,
"6.276","8121",,,
"6.281","8030",,,
"6.285","7934",,,
"6.29","7426",,,
"6.294","7949",,,
"6.298","8510",,,
"6.303","7502",,,
"6.307","7819",,,
"6.311","8159",,,
"6.316","7992",,,
"6.32","8610",,,
"6.324","7557",,,
"6.329","7659",,,
"6.333","8550",,,
"6.338","8079",,,
"6.342","8059",,,
"6.346","7620",,,
"6.351","7927",,,
"6.355","7866",,,
"6.359","7199",,,
"6.364","7979",,,
"6.368","7677",,,
"6.372","7870",,,
"6.377","7864",,,
"6.381","7740",,,
"6.386","7349",,,
"6.39","7512",,,
"6.394","8336",,,
"6.399","7652",,,
"6.403","7979",,,
"6.407","7594",,,
"6.412","7494",,,
"6.416","7989",,,
"6.42","7552",,,
"6.425","7790",,,
"6.429","7320",,,
"6.433","7045",,,
"6.438","7358",,,
"6.442","7245",,,
"6.447","7594",,,
"6.451","7407",,,
"6.455","7053",,,
"6.46","7402",,,
"6.464","7101",,,
"6.468","7839",,,
"6.473","7254",,,
"6.477","7563",,,
"6.481","7460",,,
"6.486","7226",,,
"6.49","7296",,,
"6.495","8065",,,
"6.499","7133",,,
"6.503","6900",,,
"6.508","7083",,,
"6.512","8091",,,
"6.516","7139",,,
"6.521","7517",,,
"6.525","7318",,,
"6.529","7475",,,
"6.534","7477",,,
"6.538","7883",,,
"6.543","7589",,,
"6.547","7159",,,
"6.551","7510",,,
"6.556","7139",,,
"6.56","7417",,,
"6.564","6759",,,
"6.569","7184",,,
"6.573","7070",,,
"6.577","7760",,,
"6.582","6617",,,
"6.586","7487",,,
"6.59","7065",,,
"6.595","7404",,,
"6.599","7524",,,
"6.604","7289",,,
"6.608","6928",,,
"6.612","6748",,,
"6.617","7085",,,
"6.621","7212",,,
"6.625","6883",,,
"6.63","6859",,,
"6.634","6975",,,
"6.638","7099",,,
"6.643","6973",,,
"6.647","7228",,,
"6.652","7251",,,
"6.656","6798",,,
"6.66","7097",,,
"6.665","6950",,,
"6.669","7170",,,
"6.673","7047",,,
"6.678","7169",,,
"6.682","6869",,,
"6.686","7805",,,
"6.691","6724",,,
"6.695","6941",,,
"6.7","6888",,,
"6.704","7017",,,
"6.708","6620",,,
"6.713","6907",,,
"6.717","6817",,,
"6.721","7020",,,
"6.726","6697",,,
"6.73","6567",,,
"6.734","6903",,,
"6.739","7216",,,
"6.743","6546",,,
"6.748","7223",,,
"6.752","6722",,,
"6.756","6581",,,
"6.761","6963",,,
