"Path","File","Date Acquired","Sample","Misc"
"D:\GCMS_User\R312_Liying\Data\20231128\","SYG-E22-2-2-30%-2-SCAN.D","29 Nov 2023  14:50","SYG-E22-2-2-30%",""
"TIC: SYG-E22-2-2-30%-2-SCAN.D\data.ms","","","",""
"5.591","591",,,
"5.596","856",,,
"5.6","605",,,
"5.604","803",,,
"5.609","481",,,
"5.613","262",,,
"5.617","537",,,
"5.622","487",,,
"5.626","761",,,
"5.631","474",,,
"5.635","802",,,
"5.639","627",,,
"5.644","681",,,
"5.648","531",,,
"5.652","446",,,
"5.657","1142",,,
"5.661","1254",,,
"5.665","1506",,,
"5.67","1873",,,
"5.674","2349",,,
"5.679","2477",,,
"5.683","3012",,,
"5.687","3878",,,
"5.692","3693",,,
"5.696","3928",,,
"5.7","3828",,,
"5.705","4146",,,
"5.709","4142",,,
"5.713","4312",,,
"5.718","4251",,,
"5.722","3777",,,
"5.727","3543",,,
"5.731","3406",,,
"5.735","2801",,,
"5.74","2558",,,
"5.744","2375",,,
"5.748","2468",,,
"5.753","2348",,,
"5.757","2019",,,
"5.761","2107",,,
"5.766","1964",,,
"5.77","2089",,,
"5.775","1775",,,
"5.779","1985",,,
"5.783","1610",,,
"5.788","1623",,,
"5.792","1409",,,
"5.796","1216",,,
"5.801","1120",,,
"5.805","1718",,,
"5.809","1560",,,
"5.814","1442",,,
"5.818","1389",,,
"5.822","1592",,,
"5.827","1732",,,
"5.831","1611",,,
"5.836","1418",,,
"5.84","1739",,,
"5.844","2094",,,
"5.849","1772",,,
"5.853","2419",,,
"5.857","2152",,,
"5.862","2167",,,
"5.866","2033",,,
"5.87","1715",,,
"5.875","2299",,,
"5.879","1687",,,
"5.884","1689",,,
"5.888","1603",,,
"5.892","2063",,,
"5.897","1681",,,
"5.901","1362",,,
"5.905","1292",,,
"5.91","1191",,,
"5.914","1270",,,
"5.918","960",,,
"5.923","1266",,,
"5.927","842",,,
"5.932","1080",,,
"5.936","964",,,
"5.94","394",,,
"5.945","504",,,
"5.949","656",,,
"5.953","712",,,
"5.958","535",,,
"5.962","707",,,
"5.966","613",,,
"5.971","476",,,
"5.975","615",,,
"5.979","470",,,
"5.984","611",,,
"5.988","627",,,
"5.993","754",,,
"5.997","635",,,
"6.001","396",,,
"6.006","408",,,
"6.01","206",,,
"6.014","446",,,
"6.019","341",,,
"6.023","530",,,
"6.027","429",,,
"6.032","609",,,
"6.036","619",,,
"6.041","414",,,
"6.045","353",,,
"6.049","602",,,
"6.054","424",,,
"6.058","667",,,
"6.062","538",,,
"6.067","531",,,
"6.071","890",,,
"6.075","294",,,
"6.08","448",,,
"6.084","614",,,
"6.089","428",,,
"6.093","499",,,
"6.097","540",,,
"6.102","602",,,
"6.106","747",,,
"6.11","612",,,
"6.115","799",,,
"6.119","813",,,
"6.123","599",,,
"6.128","657",,,
"6.132","417",,,
"6.137","851",,,
"6.141","833",,,
"6.145","567",,,
"6.15","624",,,
"6.154","645",,,
"6.158","690",,,
"6.163","521",,,
"6.167","817",,,
"6.171","152",,,
"6.176","368",,,
"6.18","543",,,
"6.184","253",,,
"6.189","468",,,
"6.193","618",,,
"6.198","428",,,
"6.202","557",,,
"6.206","429",,,
"6.211","621",,,
"6.215","445",,,
"6.219","597",,,
"6.224","175",,,
"6.228","477",,,
"6.232","460",,,
"6.237","359",,,
"6.241","415",,,
"6.246","336",,,
"6.25","725",,,
"6.254","541",,,
"6.259","641",,,
"6.263","426",,,
"6.267","562",,,
"6.272","989",,,
"6.276","976",,,
"6.28","1111",,,
"6.285","735",,,
"6.289","945",,,
"6.294","1084",,,
"6.298","862",,,
"6.302","1101",,,
"6.307","712",,,
"6.311","1041",,,
"6.315","978",,,
"6.32","723",,,
"6.324","596",,,
"6.328","743",,,
"6.333","745",,,
"6.337","510",,,
"6.341","716",,,
"6.346","671",,,
"6.35","630",,,
"6.355","614",,,
"6.359","871",,,
"6.363","1077",,,
"6.368","659",,,
"6.372","675",,,
"6.376","889",,,
"6.381","824",,,
"6.385","924",,,
"6.389","760",,,
"6.394","794",,,
"6.398","782",,,
"6.403","688",,,
"6.407","576",,,
"6.411","740",,,
"6.416","591",,,
"6.42","606",,,
"6.424","784",,,
"6.429","378",,,
"6.433","510",,,
"6.437","449",,,
"6.442","496",,,
"6.446","324",,,
"6.451","169",,,
"6.455","458",,,
"6.459","395",,,
"6.464","186",,,
"6.468","441",,,
"6.472","369",,,
"6.477","431",,,
"6.481","419",,,
"6.485","662",,,
"6.49","461",,,
"6.494","461",,,
"6.498","363",,,
"6.503","653",,,
"6.507","462",,,
"6.512","343",,,
"6.516","571",,,
"6.52","569",,,
"6.525","426",,,
"6.529","384",,,
"6.533","667",,,
"6.538","705",,,
"6.542","387",,,
"6.546","664",,,
"6.551","515",,,
"6.555","771",,,
"6.56","753",,,
"6.564","464",,,
"6.568","399",,,
"6.573","203",,,
"6.577","785",,,
"6.581","689",,,
"6.586","645",,,
"6.59","368",,,
"6.594","616",,,
"6.599","484",,,
"6.603","572",,,
"6.608","262",,,
"6.612","629",,,
"6.616","598",,,
"6.621","422",,,
"6.625","510",,,
"6.629","486",,,
"6.634","643",,,
"6.638","354",,,
"6.642","558",,,
"6.647","643",,,
"6.651","507",,,
"6.656","641",,,
"6.66","403",,,
"6.664","640",,,
"6.669","514",,,
"6.673","477",,,
"6.677","419",,,
"6.682","229",,,
"6.686","402",,,
"6.69","418",,,
"6.695","403",,,
"6.699","455",,,
"6.703","397",,,
"6.708","408",,,
"6.712","565",,,
"6.717","412",,,
"6.721","355",,,
"6.725","374",,,
"6.73","346",,,
"6.734","383",,,
"6.738","463",,,
"6.743","502",,,
"6.747","438",,,
"6.751","575",,,
"6.756","803",,,
"6.76","647",,,
"6.765","700",,,
"6.769","678",,,
"6.773","423",,,
"6.778","662",,,
"6.782","237",,,
"6.786","667",,,
"6.791","575",,,
"6.795","611",,,
"6.799","688",,,
"6.804","655",,,
"6.808","218",,,
"6.813","405",,,
"6.817","666",,,
"6.821","581",,,
"6.826","791",,,
"6.83","648",,,
"6.834","569",,,
"6.839","369",,,
"6.843","559",,,
"6.847","506",,,
"6.852","512",,,
"6.856","389",,,
"6.861","246",,,
"6.865","501",,,
"6.869","187",,,
"6.874","403",,,
"6.878","620",,,
"6.882","648",,,
"6.887","1016",,,
"6.891","609",,,
"6.895","653",,,
"6.9","679",,,
"6.904","857",,,
"6.908","949",,,
"6.913","696",,,
"6.917","767",,,
"6.922","660",,,
"6.926","674",,,
"6.93","582",,,
"6.935","459",,,
"6.939","496",,,
"6.943","553",,,
"6.948","689",,,
"6.952","173",,,
"6.956","391",,,
"6.961","450",,,
"6.965","164",,,
"6.97","460",,,
"6.974","433",,,
"6.978","435",,,
"6.983","280",,,
"6.987","192",,,
"6.991","406",,,
"6.996","192",,,
"7","590",,,
"7.004","217",,,
"7.009","579",,,
"7.013","175",,,
"7.018","354",,,
"7.022","272",,,
"7.026","722",,,
"7.031","381",,,
"7.035","1181",,,
"7.039","1245",,,
"7.044","1917",,,
"7.048","1886",,,
"7.052","2358",,,
"7.057","2008",,,
"7.061","2417",,,
"7.065","2477",,,
"7.07","2095",,,
"7.074","2280",,,
"7.079","1699",,,
"7.083","1657",,,
"7.087","1520",,,
"7.092","1858",,,
"7.096","990",,,
"7.1","1519",,,
"7.105","1751",,,
"7.109","1913",,,
"7.113","2311",,,
"7.118","2607",,,
"7.122","2982",,,
"7.127","3881",,,
"7.131","4137",,,
"7.135","4421",,,
"7.14","5026",,,
"7.144","5185",,,
"7.148","5576",,,
"7.153","5074",,,
"7.157","4485",,,
"7.161","4508",,,
"7.166","4141",,,
"7.17","4027",,,
"7.175","3757",,,
"7.179","3327",,,
"7.183","3637",,,
"7.188","3109",,,
"7.192","2926",,,
"7.196","2175",,,
"7.201","1954",,,
"7.205","1452",,,
"7.209","1228",,,
"7.214","1137",,,
"7.218","844",,,
"7.223","781",,,
"7.227","635",,,
"7.231","516",,,
"7.236","864",,,
"7.24","547",,,
"7.244","737",,,
"7.249","714",,,
"7.253","444",,,
"7.257","511",,,
"7.262","286",,,
"7.266","657",,,
"7.27","563",,,
"7.275","421",,,
"7.279","614",,,
"7.284","349",,,
"7.288","374",,,
"7.292","445",,,
"7.297","216",,,
"7.301","192",,,
"7.305","483",,,
"7.31","511",,,
"7.314","963",,,
"7.318","1172",,,
"7.323","1405",,,
"7.327","1378",,,
"7.332","1431",,,
"7.336","1500",,,
"7.34","1381",,,
"7.345","1344",,,
"7.349","1354",,,
"7.353","1254",,,
"7.358","1182",,,
"7.362","900",,,
"7.366","1146",,,
"7.371","1083",,,
"7.375","757",,,
"7.38","635",,,
"7.384","173",,,
"7.388","442",,,
"7.393","322",,,
"7.397","397",,,
"7.401","389",,,
"7.406","150",,,
"7.41","379",,,
"7.414","186",,,
"7.419","406",,,
"7.423","270",,,
"7.427","384",,,
"7.432","228",,,
"7.436","222",,,
"7.441","205",,,
"7.445","562",,,
"7.449","399",,,
"7.454","488",,,
"7.458","340",,,
"7.462","393",,,
"7.467","494",,,
"7.471","381",,,
"7.475","384",,,
"7.48","481",,,
"7.484","405",,,
"7.489","445",,,
"7.493","368",,,
"7.497","543",,,
"7.502","404",,,
"7.506","426",,,
"7.51","397",,,
"7.515","264",,,
"7.519","562",,,
"7.523","351",,,
"7.528","195",,,
"7.532","248",,,
"7.537","581",,,
"7.541","247",,,
"7.545","200",,,
"7.55","358",,,
"7.554","246",,,
"7.558","166",,,
"7.563","165",,,
"7.567","168",,,
"7.571","328",,,
"7.576","384",,,
"7.58","231",,,
"7.585","161",,,
"7.589","167",,,
"7.593","364",,,
"7.598","422",,,
"7.602","196",,,
"7.606","407",,,
"7.611","466",,,
"7.615","474",,,
"7.619","594",,,
"7.624","520",,,
"7.628","181",,,
"7.632","508",,,
"7.637","222",,,
"7.641","379",,,
"7.646","221",,,
"7.65","404",,,
"7.654","0",,,
"7.659","158",,,
"7.663","238",,,
"7.667","153",,,
"7.672","249",,,
"7.676","386",,,
"7.68","173",,,
"7.685","180",,,
"7.689","378",,,
"7.694","343",,,
"7.698","215",,,
"7.702","559",,,
"7.707","525",,,
"7.711","621",,,
"7.715","382",,,
"7.72","388",,,
"7.724","358",,,
"7.728","567",,,
"7.733","717",,,
"7.737","891",,,
"7.742","1044",,,
"7.746","1321",,,
"7.75","1232",,,
"7.755","1301",,,
"7.759","1134",,,
"7.763","1135",,,
"7.768","1364",,,
"7.772","1148",,,
"7.776","1245",,,
"7.781","865",,,
"7.785","440",,,
"7.789","909",,,
"7.794","954",,,
"7.798","373",,,
"7.803","180",,,
"7.807","727",,,
"7.811","592",,,
"7.816","983",,,
"7.82","815",,,
"7.824","454",,,
